feature_name,true_mean,false_mean,delta,abs_delta,true_std,false_std,single_feature_auroc
L14_H06_last_to_subject_mass,0.006270000667601698,-0.006105000650033035,0.012375001317634735,0.012375001317634735,0.0811369716012182,0.09488421380440162,0.5484863975817923
L19_H11_last_to_subject_mass_norm,-0.0062541914561420695,0.006089607470454193,-0.012343798926596263,0.012343798926596263,0.10056179542666396,0.10058345512201917,0.4586926564722618
L14_H02_last_to_subject_mass,0.00622923557360903,-0.006065308321671898,0.012294543895280927,0.012294543895280927,0.052799328064723934,0.07525650877839278,0.5513091216216216
L13_H09_attention_sink_mass,0.006201887806522767,-0.006038680232666908,0.012240568039189674,0.012240568039189674,0.09011286504885804,0.08172286407107199,0.5592216394025604
L18_H07_last_to_tail_mass,-0.006156914701671596,0.0059948906305751035,-0.0121518053322467,0.0121518053322467,0.1487588277244529,0.1490046208765204,0.47237286628733993
L16_H02_last_to_tail_mass,-0.006153512629713837,0.00599157808682668,-0.012145090716540519,0.012145090716540519,0.09273664677774446,0.09539393710117043,0.4504911984352774
L20_H08_last_to_anchor_mass,-0.006128982807833446,0.005967693786574245,-0.01209667659440769,0.01209667659440769,0.1773909033146273,0.1473432053847316,0.47202836059743947
L20_H08_last_to_non_anchor_mass,0.006128982807833214,-0.005967693786574467,0.01209667659440768,0.01209667659440768,0.1773909033146273,0.1473432053847316,0.5279716394025605
L19_H04_last_to_tail_mass,-0.006110250236678788,0.0059494541778187405,-0.012059704414497528,0.012059704414497528,0.17505781276224222,0.15927545254392467,0.48550853485064016
L16_H01_last_to_tail_mass_norm,0.006106518173896143,-0.005945820327214653,0.012052338501110796,0.012052338501110796,0.08382077430038927,0.08921821554823488,0.5469861308677098
L14_H06_tail_to_relation_mass,-0.006093573627378427,0.005933216426657943,-0.01202679005403637,0.01202679005403637,0.026995339641030812,0.037595745743980474,0.4063500177809389
L13_H01_last_to_tail_mass_norm,0.00608697755459942,-0.0059267939347415035,0.012013771489340923,0.012013771489340923,0.07537949687947425,0.07646853946984832,0.551075746799431
L17_H08_last_to_tail_mass,-0.00607926385235388,0.005919283224660382,-0.011998547077014261,0.011998547077014261,0.12682654382622632,0.12218678427641766,0.47059477240398295
L16_H00_last_to_tail_mass,-0.006047828471201106,0.005888675090379792,-0.011936503561580897,0.011936503561580897,0.09523725325858401,0.0959942087429296,0.4455681009957326
L13_H02_attention_sink_mass,-0.00602286901852582,0.005864372465406701,-0.01188724148393252,0.01188724148393252,0.09288110491976292,0.09433600772592382,0.46532716927453766
L16_H08_last_to_tail_mass,-0.006018147303413693,0.005859775005955356,-0.01187792230936905,0.01187792230936905,0.13525551136887548,0.1318670261745955,0.46266002844950216
L20_H06_last_to_tail_mass,-0.006005234120785235,0.005847201643922551,-0.011852435764707786,0.011852435764707786,0.15975286627023255,0.1432587675151736,0.46210437411095306
L18_H10_max_attention_last,-0.005998608772897396,0.005840750647294921,-0.011839359420192317,0.011839359420192317,0.09734606383790767,0.07440020745067079,0.48818678876244664
